setting,group,method,split,stationary_error,nonstationary_error
2,data_160_50_time,stlcor,"(3, 3, 3)",1.1789251188211038,1.1787791443472528
2,data_160_50_time,stlcor,"(4, 4, 4)",1.1564354976874045,1.1566462720914488
2,data_160_50_time,stsave,"(2, 2, 2)",0.012817188,0.010912695
2,data_160_50_time,stsave,"(3, 3, 3)",0.00791483,0.005964115
2,data_160_50_time,stsave,"(4, 4, 4)",0.009295137,0.007288077
2,data_160_50_time,stsir,"(2, 2, 2)",1.1992853763938705,1.1992817278169032
2,data_160_50_time,stsir,"(3, 3, 3)",1.2111193201687245,1.2108165639261574
2,data_160_50_time,stsir,"(4, 4, 4)",1.2219621154917704,1.2223099950381484
2,data_80_10_space,random,"(2, 2, 2)",1.202356057702806,1.203196536853663
2,data_80_10_space,random,"(3, 3, 3)",1.202356057702806,1.203196536853663
2,data_80_10_space,random,"(4, 4, 4)",1.202356057702806,1.203196536853663
2,data_80_10_space,stcomb,"(2, 2, 2)",0.6251921913867045,0.620853686
2,data_80_10_space,stcomb,"(3, 3, 3)",0.1649410468021407,0.1565376005289335
2,data_80_10_space,stcomb,"(4, 4, 4)",0.2101471194411712,0.2040189401010394
2,data_80_10_space,stlcor,"(2, 2, 2)",1.232347920035317,1.232915850042663
2,data_80_10_space,stlcor,"(3, 3, 3)",1.186509680716184,1.186677608019304
2,data_80_10_space,stlcor,"(4, 4, 4)",1.1500278614064663,1.1505581163061365
2,data_80_10_space,stsave,"(2, 2, 2)",0.5657433955111496,0.5609796642352979
2,data_80_10_space,stsave,"(3, 3, 3)",0.1314830547089128,0.1225463298348271
2,data_80_10_space,stsave,"(4, 4, 4)",0.1888777701828975,0.1830718370834063
2,data_80_10_space,stsir,"(2, 2, 2)",1.198687999790104,1.198943700287617
2,data_80_10_space,stsir,"(3, 3, 3)",1.1979010804887402,1.1985702184923968
2,data_80_10_space,stsir,"(4, 4, 4)",1.1990291634040464,1.1979948695100031
2,data_80_10_space_time,random,"(2, 2, 2)",1.2076534531806935,1.2076320453775615
2,data_80_10_space_time,random,"(3, 3, 3)",1.2076534531806935,1.2076320453775615
2,data_80_10_space_time,random,"(4, 4, 4)",1.2076534531806935,1.2076320453775615
2,data_80_10_space_time,stcomb,"(2, 2, 2)",0.680367616,0.6756320042309701
2,data_80_10_space_time,stcomb,"(3, 3, 3)",0.2268908470579541,0.2190363088819513
2,data_80_10_space_time,stcomb,"(4, 4, 4)",0.2773972162198383,0.2718341878451155
2,data_80_10_space_time,stlcor,"(2, 2, 2)",1.2117598066363051,1.2122464286151406
2,data_80_10_space_time,stlcor,"(3, 3, 3)",1.1870353818618424,1.187252340634256
2,data_80_10_space_time,stlcor,"(4, 4, 4)",1.1437620636269954,1.1435441086467375
2,data_80_10_space_time,stsave,"(2, 2, 2)",0.6285203168941507,0.6227113127654557
2,data_80_10_space_time,stsave,"(3, 3, 3)",0.1824414355035449,0.1745512621947447
2,data_80_10_space_time,stsave,"(4, 4, 4)",0.2414505656203452,0.2362099235128029
2,data_80_10_space_time,stsir,"(2, 2, 2)",1.184563991,1.1839159461211255
2,data_80_10_space_time,stsir,"(3, 3, 3)",1.202487799346706,1.202075972829931
2,data_80_10_space_time,stsir,"(4, 4, 4)",1.2100410568572133,1.2113157660172218
2,data_80_10_time,random,"(2, 2, 2)",1.197653041934506,1.197421604607509
2,data_80_10_time,random,"(3, 3, 3)",1.197653041934506,1.197421604607509
2,data_80_10_time,random,"(4, 4, 4)",1.197653041934506,1.197421604607509
2,data_80_10_time,stcomb,"(2, 2, 2)",0.1367942087954151,0.1216074934909854
2,data_80_10_time,stcomb,"(3, 3, 3)",0.1153450550434186,0.1001820217724783
2,data_80_10_time,stcomb,"(4, 4, 4)",0.2180444247699903,0.2074635081378967
2,data_80_10_time,stlcor,"(2, 2, 2)",1.1906127842255456,1.188964832538018
2,data_80_10_time,stlcor,"(3, 3, 3)",1.2133708938544283,1.2126536719519567
2,data_80_10_time,stlcor,"(4, 4, 4)",1.187139047889027,1.1870844188896132
2,data_80_10_time,stsave,"(2, 2, 2)",0.1173369120877388,0.1017639112091981
2,data_80_10_time,stsave,"(3, 3, 3)",0.1071020502186576,0.091839292
2,data_80_10_time,stsave,"(4, 4, 4)",0.1999272128029132,0.1890030760178235
2,data_80_10_time,stsir,"(2, 2, 2)",1.1989176095517142,1.1997626480688597
2,data_80_10_time,stsir,"(3, 3, 3)",1.2054122733100117,1.2047013123589252
